event_id,team,type,player,congestion_5m,runners_on_shoulder,def_line_height,team_width,team_length,run_speed_ms
0299a08d-4dcd-4548-9ea1-2cefe360f150,Spain,Carry,Aymeric Laporte,0,0,38.29950663826461,58.99237428764956,29.928737037121635,0.0
02a2752e-d8fa-48c6-aa57-e636186682ac,England,Ball Receipt*,Ollie Watkins,1,1,32.897318558262945,23.149181273249173,23.95516276246389,0.0
02a55826-4af1-4a37-a318-185b5bad369f,Spain,Carry,Robin Aime Robert Le Normand,0,1,64.56399705516615,50.369720167777906,28.82060337906254,0.0
02aa9682-2eec-485d-bb43-64a1343012d6,England,Carry,Luke Shaw,1,0,19.08693629039399,54.23796287845641,34.36671596641369,0.0
02ac6fd7-e8a5-4289-baba-33ab432f88c4,Spain,Pass,Robin Aime Robert Le Normand,0,0,44.78513677998722,62.05085737243067,31.496397736431195,0.0
02b619d5-54fe-4bd7-ad9f-4a25dfb41e99,England,Ball Receipt*,Declan Rice,2,1,44.725087477403065,32.47301004095782,25.368930967649778,2.271599618980569
02c1f765-7ef5-4262-8ba9-91460f91d317,Spain,Shot,Álvaro Borja Morata Martín,1,2,78.68242387829413,35.97702417421631,14.820425106699965,0.0
02db3a7d-7b81-4753-a84f-feb54a145cd3,England,Carry,Bukayo Saka,0,0,81.70744880406438,48.64034391090745,18.26695831920644,0.0
0309656e-6fd3-4a45-b865-2b53998732ca,Spain,Pass,Robin Aime Robert Le Normand,0,0,44.533649072074354,64.75998985774471,34.61224454683277,0.0
032b24e9-a518-43b4-a156-da7ce66e4dab,England,Ball Receipt*,Kyle Walker,0,0,15.052718135302728,45.46922262644291,32.19971070773457,2.077803120793865
038a24d5-c5de-4b3c-b67c-1f92777ab89d,Spain,Ball Receipt*,Álvaro Borja Morata Martín,2,0,62.61614182265171,60.82945763434681,22.00561328223417,5.345237025185761
03a13692-e0b4-4056-81d3-1976864c79aa,Spain,Pass,Aymeric Laporte,0,0,49.708761449288055,61.569713134387065,36.30602944394761,0.0
03a51748-0d0f-447d-ab46-2270fce49a33,England,Ball Receipt*,Phil Foden,3,1,65.97852722955982,58.50368990891854,22.513085622657197,1.7828484993312035
03a57207-f634-4795-a1fe-7e3209c93f1f,Spain,Pass,Daniel Carvajal Ramos,1,0,74.85826636568397,37.49471278110338,10.883389343399962,0.0
03ac30e2-bca1-4497-ab1d-c64c90204203,England,Carry,Kyle Walker,0,2,17.41961259641429,54.98396272240676,27.312708402207903,0.0
03b1c029-ef0b-4c74-ad3e-09d59a5d8acf,Spain,Pass,Rodrigo Hernández Cascante,0,1,48.430320369437226,58.83365471768277,31.94758541218781,0.0
040901fa-f624-418a-9c54-980ad6e0f6b7,England,Carry,Jude Bellingham,1,0,54.877923437151615,51.96518345754592,17.747452038301304,0.0
043166fe-1d7a-4d73-be0f-52b8016cc255,England,Pass,Kyle Walker,0,2,34.001762621555955,47.450930510335034,42.399757792164735,0.0
044432d4-6264-4e2c-8765-1cd6069bb80c,England,Carry,Kyle Walker,0,0,59.4409931065675,57.57159581147836,29.619009371339594,0.0
044b2fc9-baac-4234-8918-0eaf994de027,Spain,Carry,Daniel Carvajal Ramos,0,2,25.849335488411274,60.26849979808953,35.485778390310166,0.0
04580fdf-8ad4-4430-be6a-896c36bc33e4,England,Ball Receipt*,Phil Foden,1,3,29.500523536006845,21.134892916229706,17.476517907356744,0.0
04752354-2cd5-4b8d-91d5-c1dd27a52dff,Spain,Carry,Robin Aime Robert Le Normand,0,1,39.529980941991134,56.032408226149975,30.031325109436466,0.0
0477be9e-4df4-4527-8bd0-5cf97a39ea8e,Spain,Carry,Fabián Ruiz Peña,1,2,62.469546713860396,44.751242377407365,25.424555503137924,0.0
0493488e-f4fb-41f7-95c9-6f26efc1bae5,England,Duel,Declan Rice,2,1,13.934485429201818,24.443122344402394,21.15160628848562,0.0
04950e14-4af1-49f7-8812-4aa5a2fdf9a6,England,Pass,Jordan Pickford,0,1,35.626912504400586,37.36753437610157,34.443714974117874,0.0
049be5e3-144b-4fa0-a582-ab3d94161dac,England,Pressure,Jude Bellingham,2,1,35.2531358597203,32.87136901775559,25.12797240687099,0.0
04b47e5f-8f9f-41b2-ae80-215f9255d252,Spain,Carry,Fabián Ruiz Peña,1,0,68.66589063764472,39.56275324900732,21.115211484312617,0.0
04c6143d-2d81-4c62-baac-51a124b1d68a,Spain,Pressure,Daniel Olmo Carvajal,1,1,56.487203054122475,39.13580347511797,27.448023059290126,0.0
04cbfe7a-337a-49cb-b4ae-dafeaeedd7b5,Spain,Ball Receipt*,Aymeric Laporte,3,0,94.78873509111824,46.44452057046437,15.39726940792101,1.9853939797602347
04ce2e1e-1ffc-4269-b14e-de16f303a5c5,Spain,Shot,Nicholas Williams Arthuer,2,0,77.09650965648659,24.829852894167878,16.19066362039032,0.0
04d0e0dd-1c56-4c83-8e47-debc8412a24f,Spain,Ball Receipt*,Aymeric Laporte,0,1,49.75681884412434,50.99790671612211,33.32449418045626,2.8782959899680303
04e84e2e-468d-4eb0-93ee-c274b0f4618f,Spain,Ball Receipt*,Fabián Ruiz Peña,0,0,52.053271907851475,63.58160996968601,27.274212060203517,1.5772533851041053
0516df8e-ba4a-4747-beda-a02217274faf,Spain,Carry,Robin Aime Robert Le Normand,0,0,35.85965276049959,29.87691888759843,22.334794192215444,0.0
053f03b7-bfbe-4779-a870-573d4424bd77,England,Carry,Luke Shaw,1,0,87.33361359006786,41.58377151329629,9.629959244852579,0.0
